geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
AA20308	25.1856768112555	25.1856768112555	-80.8426322383261	-80.8426322383261
AA20307	25.1847773814678	25.1847773814678	-80.8461070456391	-80.8461070456391
AA20305	25.1820833281876	25.1820833281876	-80.8614934114399	-80.8614934114399
AA20309	25.1874980629097	25.1874980629097	-80.8575173119311	-80.8575173119311
AA20035	25.199670309612	25.199670309612	-80.8386438863297	-80.8386438863297
AA20144	25.2005733908816	25.2005733908816	-80.8386426961185	-80.8386426961185
AA20010	25.200115793688	25.200115793688	-80.833184020972	-80.833184020972
AA20310	25.1964948864125	25.1964948864125	-80.825744705503	-80.825744705503
AA20203	25.2082134379018	25.2082134379018	-80.8083564552398	-80.8083564552398
AA20160	25.213629321746	25.213629321746	-80.806362563958	-80.806362563958
AA20008	25.2163506076027	25.2163506076027	-80.8157891622891	-80.8157891622891
AA20020	25.217728080126	25.217728080126	-80.8351454899818	-80.8351454899818
AA20209	25.2077969504827	25.2077969504827	-80.8376405153918	-80.8376405153918
AA20224	25.2114292604292	25.2114292604292	-80.8569931151042	-80.8569931151042
AA20107	25.215043962075	25.215043962075	-80.8594706847849	-80.8594706847849
AA20095	25.2154887334105	25.2154887334105	-80.8525211245919	-80.8525211245919
AA20030	25.2331026831233	25.2331026831233	-80.8564713392774	-80.8564713392774
AA20251	25.2281200063622	25.2281200063622	-80.8410884219882	-80.8410884219882
AA20102	25.2294708455958	25.2294708455958	-80.8376117461681	-80.8376117461681
AA20059	25.2244938302047	25.2244938302047	-80.8286832118886	-80.8286832118886
AA20217	25.2344200555161	25.2344200555161	-80.8222156215704	-80.8222156215704
AA20197	25.2353070371057	25.2353070371057	-80.8093068792458	-80.8093068792458
AA20261	25.2502051906384	25.2502051906384	-80.8072976246152	-80.8072976246152
AA20109	25.255189582334	25.255189582334	-80.8211923551127	-80.8211923551127
AA20315	25.2488862450843	25.2488862450843	-80.8360947703563	-80.8360947703563
AA20314	25.2479814286809	25.2479814286809	-80.8425478032603	-80.8425478032603
